logical_flow,size_bytes,n_pkts,tx_first_s,tx_last_s
0,7866,6,33744454.771496803,33744454.771583922
1,3088785,2060,33744454.776347630,33744454.791416682
2,1555896,1038,33744454.791431077,33744454.798956886
3,25003,17,33744454.798964351,33744454.799089827
4,70602,48,33744454.799094558,33744454.799440198
5,59796,40,33744454.799445517,33744454.799734093
6,458827,306,33744454.799738720,33744454.801978685
7,1849625,1234,33744454.805511504,33744454.814544968
8,4224,3,33744454.814557575,33744454.814582363
9,1545,2,33744454.814587303,33744454.814602934
10,2775579,1851,33744454.816810779,33744454.830205522
11,56288,38,33744454.830218256,33744454.830491334
12,1539861,1027,33744454.830496900,33744454.837872319
13,1032,1,33744454.837879539,33744454.837888815
14,58916,40,33744454.839767426,33744454.840097323
15,1161026,775,33744454.843688980,33744454.849381045
16,22473,15,33744454.849395007,33744454.849517904
17,7828046,5219,33744454.849524103,33744454.887898542
18,5071176,3381,33744454.887905724,33744454.912106372
19,1599,2,33744454.912113123,33744454.912129559
20,1477,1,33744454.912133768,33744454.912142150
21,92889,62,33744454.912146501,33744454.912593476
22,7367636,4912,33744454.912598237,33744454.947846010
23,45422,31,33744454.947852649,33744454.948080882
24,21392,15,33744454.948085941,33744454.948193423
25,54162,37,33744454.948197335,33744454.948461168
26,1561,2,33744454.948472776,33744454.948489137
27,21838,15,33744454.948493250,33744454.948609285
28,57340,39,33744454.948613934,33744454.948888049
29,70698,48,33744454.948892362,33744454.949234866
30,22871,16,33744454.949239425,33744454.949354701
31,22666,16,33744454.949358746,33744454.949473478
32,21582,15,33744454.949477568,33744454.949585468
33,62023,42,33744454.949589603,33744454.949893087
34,28782,20,33744454.949897885,33744454.950040840
35,1390,1,33744454.950045131,33744454.950053498
36,2822070,1882,33744454.950057805,33744454.963452131
37,113104,76,33744454.963457957,33744454.963991463
38,395052,264,33744454.965885326,33744454.967866421
39,16450,11,33744454.967878342,33744454.967959665
40,22831338,15221,33744454.969218627,33744455.068912603
41,3464026,2310,33744455.068923637,33744455.083859205
42,6396,5,33744455.083865330,33744455.083914727
43,35453,24,33744455.083918840,33744455.084076881
44,1160578,774,33744455.084081255,33744455.089138180
45,1080663,721,33744455.089143567,33744455.093695797
46,7172658,4782,33744455.093701057,33744455.124776945
47,54160,37,33744455.124783337,33744455.125027128
48,2633625,1756,33744455.125031345,33744455.136658803
49,620075,414,33744455.136664167,33744455.139403120
50,30520,21,33744455.139408059,33744455.139549866
51,169991,114,33744455.139553502,33744455.140290491
52,4258404,2839,33744455.140295208,33744455.159683630
53,3053992,2036,33744455.159689218,33744455.173479214
54,73161,49,33744455.173485331,33744455.173818544
55,173184,116,33744455.173822202,33744455.174592458
56,1698,2,33744455.174597114,33744455.174610645
57,23784,16,33744455.174614102,33744455.174726963
58,1964337,1310,33744455.174730599,33744455.183426253
59,52655,36,33744455.183432572,33744455.183651373
60,13756,10,33744455.183655672,33744455.183743678
61,102319,69,33744455.183747128,33744455.184189081
62,1021300,681,33744455.184193663,33744455.188534722
63,663229,443,33744455.188545190,33744455.191315196
64,43938,30,33744455.191319935,33744455.191508837
65,57563,39,33744455.191512257,33744455.191752285
66,73997,50,33744455.191755936,33744455.192079246
67,1722407,1149,33744455.192083433,33744455.199249990
68,77421,52,33744455.199254692,33744455.199616320
69,48306,33,33744455.199620634,33744455.199814193
70,69151,47,33744455.199817702,33744455.200102925
71,1574,2,33744455.200107157,33744455.200119995
72,1949,2,33744455.200123303,33744455.200136289
73,1023719,683,33744455.200140841,33744455.204385757
74,16208320,10806,33744455.204390705,33744455.273840189
75,182928,122,33744455.273846470,33744455.274625584
76,48391,33,33744455.274630174,33744455.274843164
77,13259,9,33744455.274847075,33744455.274915129
78,72360,49,33744455.274918601,33744455.275248609
79,15562069,10375,33744455.275252655,33744455.342524104
80,1630406,1087,33744455.342530705,33744455.349606119
81,90732,61,33744455.349611424,33744455.350004762
82,3474938,2317,33744455.350009114,33744455.364738248
83,22787,16,33744455.364743493,33744455.364851832
84,75441,51,33744455.364855275,33744455.365169175
85,8406249,5605,33744455.365173034,33744455.401356041
86,149553,100,33744455.401373640,33744455.402006812
87,61917,42,33744455.402011298,33744455.402281336
88,26486,18,33744455.402285114,33744455.402392931
89,101250,68,33744455.402397051,33744455.402830333
90,8802266,5869,33744455.402834423,33744455.441317387
91,1091,1,33744455.441323712,33744455.441332392
92,1785777,1191,33744455.441335946,33744455.449300207
93,2412968,1609,33744455.449305333,33744455.460188828
94,4405275,2937,33744455.460194156,33744455.479975685
95,1324120,883,33744455.479981259,33744455.485929422
96,2174709,1450,33744455.485938430,33744455.495415829
97,76791,52,33744455.495421246,33744455.495758735
98,120602,81,33744455.495763093,33744455.496274799
99,54946,37,33744455.496279567,33744455.496526077
100,2366,2,33744455.496530078,33744455.496544138
101,3798642,2533,33744455.496547513,33744455.512664139
102,135045,91,33744455.512676567,33744455.513243452
103,19955,14,33744455.513247781,33744455.513340831
104,73012,49,33744455.513344765,33744455.513661563
105,67969,46,33744455.513665393,33744455.513946243
106,40096,27,33744455.513950355,33744455.514134780
107,37961,26,33744455.514139406,33744455.514295831
108,89390,60,33744455.514299393,33744455.514681250
109,291886,195,33744455.514685117,33744455.515930198
110,244381,163,33744455.515934832,33744455.517007843
111,61697,42,33744455.517012514,33744455.517283008
112,1536,2,33744455.517286867,33744455.517299987
113,22550,16,33744455.517307490,33744455.517410979
114,14582,10,33744455.517414570,33744455.517475881
115,163189,109,33744455.517479241,33744455.518174589
116,3497910,2332,33744455.518179029,33744455.533640832
117,1978475,1319,33744455.533646800,33744455.542327039
118,1960165,1307,33744455.542344272,33744455.550914221
119,2325095,1551,33744455.550919190,33744455.560888104
120,25026,17,33744455.560893290,33744455.560997486
121,2931901,1955,33744455.561002456,33744455.573634498
122,648741,433,33744455.573639922,33744455.576407462
123,3588,3,33744455.576412290,33744455.576432019
124,1292,1,33744455.576435387,33744455.576454274
125,1250,1,33744455.576457448,33744455.576464102
126,1470052,981,33744455.576467238,33744455.582969919
127,24451,17,33744455.582975782,33744455.583078384
128,5369,4,33744455.583081998,33744455.583118632
129,298118,199,33744455.583122142,33744455.584445007
130,37642,26,33744455.584449798,33744455.584613033
131,2906,2,33744455.584617175,33744455.584630102
132,11427,8,33744455.584633313,33744455.584705248
133,79245,53,33744455.584708594,33744455.585024469
134,12860,9,33744455.585028097,33744455.585105255
135,26879,18,33744455.585108712,33744455.585217625
136,1083650,723,33744455.585221149,33744455.589928336
137,60934,41,33744455.589932986,33744455.590196848
138,33568,23,33744455.590200655,33744455.590338916
139,65283,44,33744455.590342470,33744455.590625197
140,1437,1,33744455.590628929,33744455.590635903
141,46681,32,33744455.590638995,33744455.590830445
142,53928,36,33744455.590833962,33744455.591075286
143,16944,12,33744455.591079451,33744455.591151737
144,5309,4,33744455.591155156,33744455.591179989
145,4991691,3328,33744455.591183178,33744455.612848654
146,74450,50,33744455.612856895,33744455.613158748
147,20750,14,33744455.613165334,33744455.613250181
148,219034,147,33744455.613253780,33744455.614119485
149,2337963,1559,33744455.614123650,33744455.624111481
150,1376,1,33744455.624116823,33744455.624124512
151,1315,1,33744455.624127969,33744455.624135166
152,9471,7,33744455.624138631,33744455.624183282
153,1139463,760,33744455.624186710,33744455.629222676
154,11523,8,33744455.629227556,33744455.629276700
155,1032438,689,33744455.629280321,33744455.633758321
156,703809,470,33744455.633763500,33744455.636863686
157,96977,65,33744455.636869483,33744455.637285769
158,21742,15,33744455.637289748,33744455.637382492
159,12273698,8183,33744455.637386203,33744455.691114955
160,1969881,1314,33744455.691121198,33744455.699697025
161,76216,51,33744455.699702099,33744455.700057894
162,21972,15,33744455.700063258,33744455.700157434
163,436591,292,33744455.700164422,33744455.702020071
164,48713,33,33744455.702024572,33744455.702229783
165,145786,98,33744455.702233881,33744455.702946283
166,33439,23,33744455.702950075,33744455.703143694
167,329113,220,33744455.703147642,33744455.704524383
168,2465,2,33744455.704528987,33744455.704542555
169,29830,20,33744455.704545729,33744455.704665959
170,9794524,6530,33744455.704669394,33744455.747937381
171,3995866,2664,33744455.747943185,33744455.766072050
172,30994,21,33744455.766077705,33744455.766210161
173,3418867,2280,33744455.766213991,33744455.781603843
174,31630,22,33744455.781609587,33744455.781771608
175,7377803,4919,33744455.781775385,33744455.813892461
176,1355120,904,33744455.813898049,33744455.819724523
177,53010,36,33744455.819729611,33744455.819995731
178,24730,17,33744455.819999382,33744455.820128329
179,1139,1,33744455.820132867,33744455.820144027
180,4114148,2743,33744455.820147641,33744455.838065751
181,1789,2,33744455.838070989,33744455.838084906
182,2389387,1593,33744455.838088252,33744455.848518632
183,9256813,6172,33744455.848523580,33744455.888830811
184,135543,91,33744455.888836414,33744455.889429450
185,13475,9,33744455.889433958,33744455.889500543
186,3721842,2482,33744455.889504030,33744455.905626424
187,11482633,7656,33744455.905631676,33744455.955150820
188,1028278,686,33744455.955156423,33744455.959594756
189,74117,50,33744455.959599726,33744455.959917933
190,44678,30,33744455.959921889,33744455.960130721
191,38127,26,33744455.960135110,33744455.960304163
192,20472,14,33744455.960308470,33744455.960404538
193,659686,440,33744455.960408114,33744455.963133313
194,56325,38,33744455.963137485,33744455.963375658
195,18434,13,33744455.963379353,33744455.963492319
196,4967,4,33744455.963499814,33744455.963525675
197,578167,386,33744455.963529140,33744455.966061182
198,29526,20,33744455.966065958,33744455.966197439
199,71725,48,33744455.966200858,33744455.966495924
200,34146,23,33744455.966499746,33744455.966664210
201,3855144,2571,33744455.966668390,33744455.983367935
202,4985281,3324,33744455.983373560,33744456.005284399
203,1320,1,33744456.005290084,33744456.005298078
204,20069,14,33744456.005301587,33744456.005395614
205,34567,24,33744456.005410530,33744456.005555019
206,18670649,12448,33744456.005558535,33744456.087984197
207,1773997,1183,33744456.087990597,33744456.095743001
208,36631,25,33744456.095748626,33744456.095897995
209,21085,15,33744456.095901676,33744456.096039869
210,662900,442,33744456.096044376,33744456.098892309
211,2825254,1884,33744456.098897457,33744456.111236691
212,6876855,4585,33744456.111241721,33744456.140801527
213,37531,26,33744456.140815094,33744456.140999109
214,4255058,2837,33744456.141003348,33744456.159374818
215,812650,542,33744456.159380347,33744456.162844665
216,67865,46,33744456.162849985,33744456.163150102
217,17645888,11764,33744456.163154043,33744456.239735782
218,23015,16,33744456.239742279,33744456.239854440
219,1193047,796,33744456.239858747,33744456.244930714
220,3668,3,33744456.244935833,33744456.244955227
221,13139,9,33744456.244958676,33744456.245012656
222,5574708,3717,33744456.245016061,33744456.269357190
223,21079,15,33744456.269362763,33744456.269454077
224,1506459,1005,33744456.269457847,33744456.275820367
225,200673,134,33744456.275825217,33744456.276699841
226,2915489,1944,33744456.276704371,33744456.289182544
227,42483,29,33744456.289187364,33744456.289366998
228,36854,25,33744456.289371073,33744456.289543748
229,28950,20,33744456.289547466,33744456.289671719
